lable,text
4,رفتار کارکنان بسیار عالی - محیط بسیار خوب - ویو ارامش بخش- کیفیت غذا نسبت به پارسال ضعیف شده بود -
5,"درود و احترام بنده سه شب در هتل استقلال اقامت داشتم. محیط آرام ،مدیریت محترم،پذیرش گرم و صمیمی،غذاهای با کیفیت با قیمت مناسب ،نظافت اتاقها به بهترین شکل،و آرامش محیط و راهروها و محوطه داخلی و بیرونی هتل عالی،گرمایش اتاق و تهویه داخلی بسیار مطبوع بود.به شخصه این مجموعه را به دیگر دوستان پیشنهاد میکنم .If you plan to stay in Tehran, my first suggestion is Esteghlal Hotel. A quality place, tranquility and respect ."
4,خوب
4,"این هتل درسته قدیمیه ولی بسیار با قدمت و شکوهمنده، رفتار اغلب پرسنل هتل بسیار خوب و با احترام است ولی به نظرم اگه مشکل کیفیت رستوران رو حل کنن چه صبحانه و چه روم سرویس ،میتونه واقعا بی نقض بشه ،"
5,از همه نظر )پذیرش وبرخورد کارکنان و نظافت اتاق و صبحانه بسیار عالی و راضی بودیم در سفر خانوادگی که ۳اتاق رزرو کرده بودیم فقط متاسفانه استخر که جز امکانات هتل ۵ستاره باید باشه قابل استفاده نبود و آسانسورهاهم خیلی قدیمی و کند بود که باید تعمیر بشه
5,خيلي هتل خوبيه رفتار كاركنان عالي - از هر نظر خوب بود👌🏻-
4,بسيار خوب
4,از لحاظ تجهیزات خیلی قدیمی بودن و از لحاظ فنی و بهداشتی سرویس دستشویی ایراداتی داشت
3,از هتل پنج ستاره انتظار بهتری از لابی هتل می رود .ممنون از برخورد خوب کارکنان.کمد و تجهیزات داخل اطاق دموده بود.
4,برخورد کارکنان خیلی خوب و سرویس دهی و نظافت هم خوب هست ضمنا صبحانه متنوع و مناسبه اما ساختمان هتل قدیمی هست و کیفیت تشک تختها پایینه .خوراکی های غیر رایگان داخل اتاق و نسکافه هم حذف شده بود.
4,"صبحانه خوب نبود معمولی بود ، ساعتش خیلی بده تا ساعت ۱۰ بود و خیلی آدم اذیت میشه ، نظافت طبقه ۱۴ خوب نبود ولی مابقی چیزا راضی بودیم"
2,رسپشن عالی رستوران عالی نظافت خیلی ضعیف
5,رفتار کار‌کنان حرفه ای و با صمیمیت اما فضای داخل اتاقهای هتل انسان رو یاد سریال هزار دستان ساخته مرحوم حاتمی می اندازد
5,عالی بود
5,عالی
3,"سفرهای متعددی به این هتل داشتم ، اما در آخرین اقامت مشکلاتی وجود داشت ، سیفون اتاق ۹۲۶ خراب بود ، تنها یک حوله در اتاق بود ، کنترل تلویزیون باطری مناسب نداشت و به زحمت کار میکرد ، و یک اشتباه در ۱ مهر ، تنظیم نبودن ساعت اصلی هتل در بالای رسپشن بود که ممکن است برای توریستها مشکل آفرین باشد"
5,عالی بود از همه نظر
4,راضی بودم از همه چی هتل هم برخورد هم نظافت عالی بود
4,"مدیریت و کارکنان عالی و حرفه‌ای، صبحانه خیلی خوب، لابی و آسانسور و امکانات مناسب اما اتاق‌های نسبتا قدیمی . تلویزیون خوب و بزرگ با اشتراک نماوا و ماهواره های خبری و کانال انیمیشن."
3,اتاقمو دوس داشتم اما وسیله ها قدیمیه و نیاز به بازسازی داره . صبحانه که بسیار عالی بود و واقعا حرف نداشت وسیله ها به مقدار لازم تو اتاق ها بود .
5,خوب قابل قبول
4,غذای رستوران خیلی کیفیت خوبی نداشت ولی در مجموع هتل خوبیه
4,كيفيت غذا معمولی .امكانات(وسايل) اتاق قديمي.موقعيت هتل خوب.
3,باسلام وعرض ادب کادر پذیرش و نحوه ی پذیرش فوق العاده در کمال ادب و احترام بودند از باب سرویس بهداشتی ایرانی مناسفانه فاقد نظافت بود و نظافت سرویس بهداشتی ایرانی اصلا رعایت نشده بود من شخصا با توجه ب شرایط کاری ک دارم این هتل روبرای اقامت انتخاب میکنم وسپاسگزارم
4,فقط کیفیت غذا در رستوران رز زیاد خوب نبود ولی نظافت و کارکنان و بقیه موارد خیلی خوب بود
5,رضايت كامل
5,پذيرش و پرسنل مودب و حرفه اي حس خوب بهمراه احترام را به شما هديه ميكنن
4,كاركنان بسيار مودب
4,به صورت کلی خوب بود ولی ناهار اصلا کیفیت نداشت
4,هتل در موقعیت خوب و کادر هتل نیز برخورد خوب و مناسب دارند
4,از پرسنل هتل سپاسگزارم. همچنین از برخورد خوب و نحوه ی پاسخگویی کارمندان سایت رضایت کامل دارم. با آرزوی موفقیت و تبریک سال جدید
4,هتل و کارکنان عالی
4,همه چیز از قبیل موقعیت امکانات ویو تمیزی کارکنان خوب و عالی فقط کف سرویس خروجی اب نداشت
4,کارکنان هم ضعیف بودن به نسبت
5,رضایت کامل
5,عالی. مودب و حرفه ای و پاسخگو
2,"موقعی که وارد اتاق شدیم، امکانات داخل اتاق کامل نبود. این دفعه سومی هست که من این هتل رو انتخاب کردم و متاسفانه امکاناتی مثل حوله، چایی، دمپایی و ... داخل اتاق نبوده و من مجبور به تماس شدم و دیر هم پاسخ دادند."
4,بدلیل ورود سرمای زیاد از درب بالکن اصلا در شبهای زمستان مناسب نیست
5,بسیار مرتب و پاسخگو
5,"محل هتل برای دسترسی به نقاط مختلف خیلی خوب بود، صبحانه کاملی داشت، رفتار پرسنل محترمانه بود"
4,برخورد کارکنان فوق العاده خوب و عالی
3,خیلی پیشنهاد نمیشه
4,"مزایا: تمیزی هتل برخورد مناسب کارکنان ویوی قشنگ معایب: بعضی وقت ها با کمبود کاکنان نظافت رو به رو بود، چند ساعت بعد از تماس برای نظافت مراجعه می کردن(البته برخورد بخش خانه داری واقعا محترمانه و خوب بود) نبود شیلنگ در سرویس اگه آب از وان خارج می شد کف سرویس جمع می شد و تخلیه نمی شد. در کل این هتل رو پیشنهاد می کنم بخصوص بخاطر برخورد بسیار خوب کارکنانش"
4,"در کل هتل خوبی است به خصوص از لحاظ موقعیت مکانی، اما می تواند بسیار بهتر از این هم باشد"
5,خمه چیز خوب و عالی
4,خیلی عالی بود هتل بسیار خوبی است و در طرح ترافیک قرار ندارد - امیدوارم هتل استقلال زنگ بزنه و بگه شما ۳ شب اقامت رایگان دارید هر وقت خواستید تشریف بیارید🙂
4,با درود من دوبار اقامت داشتم از لحاظ بهداشت خيلي عالي بود برخورد كارمندان هم خوب بوده ولي بار دوم كه اقامت داشتم حوله تو حموم نبوده و يكي اينكه كف هتل و درب و ديوار اصلا بهش رسيدگي نشده
4,بوفه صبحانه و برخورد کارکنان خوب بود ولی با توجه به 5 ستاره بودن اتاقها نیاز به بازسازی دارد
5,در كل عالي بود
4,همگی محترم و خوش برخورد
4,"برخورد كاركنان بسياررررر عالي اما امكانات اتاق ها كمي ضعيف بود،كم بودن پريز برق اتاق ها،نداشتن شلنگ در توالت كيفيت غذا هم درحد هتل ٥ستاره نبود نظافت هم بسيار عالي"
4,همه چیز خوب و مناسب بود
5,خوب
5,پاکیزه با یک لوکیشن و دسترسی خوب
5,همه چی عالی
5,تمام بخش های هتل انصافا خیلی بود و رفتار تمامی پرسنل عالی
4,میتواند بهتر باشد
4,هربار یه چیزی داخل اتاق کمه و باید تذکر داد تا بیارن یه دفعه دمپایی نذاشتن یه دفعه میریم حوله نیست. جدیدا هم کیفیت صابون و دستمال و مسواک و غیره داخل اتاق رو به شدت پایین آوردن. ولی از نظر تمیزی و دسترسی هتل و رعایت بهداشت و کیفیت و تنوع غذا عالی
4,"هتل استقلال از لحاظ برخورد با مهمانان، صبحانه بوفه و متنوع و با کیفیت، تمیزی اتاق، داشتن تراس در اتاق با ویوی بسیار عالی و قیمت مناسب بسیار عالیه تنها نکته منفی به نظرم اینه که با توجه به اینکه هتل 5ستاره است و قدمت زیادی داره توقع میره نسبت به بازسازی لابی و آسانسورها تجدیدنظر بشه و در نگاه اول نسبت به هتل 5ستاره اونقدر تمیز و شیک و با امکانات به نظر نمیرسه."
5,در کل خوب بود.....
4,رفتار پرسنل به غیر از پذیرش خیلی خوب بود محیط آرام و دلنیشینی داره و آدم توی این هتل احساس راحتی میکنه از لحاظ رعایت نکات بهداشتی هم خوب بود انصافا صبحانه بسیار متنوع و خوب بود و مشکلی برامون ایجاد نکرد
3,هتل دارای پتانسیل خیلی خیلی بهتر و بالاتری است که متاسفانه مدیریت نمی شود.
4,خوب بود
5,همه چی عالی بود رفتار پرسنل عالی از لحاظ بهداشت کرونا همه چیز رعایت میشد . فقط تنها مشکلش نبود مایع دستشویی بود به نظرم
3,برای مسافری که چند سال هتل انتخاب کرده امتیازی قائل نمیشن که اتاق خوبی در اختیارش بزارن ایندفعه اناق من کوچیک بود و ته راهرو
4,بر خورد کارکنان خوب بود اما بخاطر کرونا بیشتر قسمت ها تعطیل بود همچون استخر و زمین تنیس ووووو
4,در کل خوبه و‌میتونه بهتر هم باشه
4,در همه موارد نظرم مثبت هست مخصوصا رعایت بهداشت هتل و کارکنان در زمان کرونا . اما مسافرین رعایت نمیکردن و متاسفانه تذکری هم بهشون داده نمیشد مثلا در آسانسور حدود ۸ نفر سوار میشدن که در زمان کرونا بسیار خطرناک هست و یا در صبحانه چند بار دیدم که مسافرین نان یا مواد غذایی دیگر را با دست بدون دستکش بر میدارند باید تذکر لازم را به مسافرین بدهید و یا برخورد جدی کنید در آخر هم از پذیرایی عالی و برخورد عالی کمال تشکر را دارم
5,"با سلام وقت بخیر، در کل همچی خوب هست ولی با کمی تمهیدات رفاهی انگیزه مهمانان جهت اقامت افزون تر میگردد به عنوان مثال جاده سلامت که خیلی برای من جالب بود ولی متاسفانه استقبال چندانی نشده بود فکر کنم به علت عدم اطلاع رسانی باشه در این روزهایی که ورزش در مکانهای سرپوشیده خالی از مشکل نیست ، اگه کمی رسیدگی شود مثل نور پردازی مناسب ، فضای نشستن و ... خیلی به جذب گردشگر و سلامت مهمانان کمک میشود در کل از امکانات اون محوطه فضای سبز استفاده نشده لابد علت خاصی داشته که ما نمی دانیم"
3,برای مسافران همیشگی امتیازی قائل نمیشن
5,عالی
4,غذا ضعیف رفتار پرسنل هم ضعیف
4,"برخورد کارکنان عالی،کیفیت غذا توسط،کیفیت صبحانه عالی،کیفیت اینترنت افتضاح و در ضمن در کلاس چنین هتلی نیست که فقط یک گیگ اینترنت رایگان به مراجعه کننده بده و مازاد بر این مقدار رو باهاش حساب کنه.😅هر چند من به خاطر قطع های مداوم قید همون یک گیگ رو هم زدم.در کل از نظر تمیزی و امکانات و فضای اتاق خیلی خوب بود.غذا متوسط و گاهی هم بد."
5,برخورد کارکنان خیلی خوب
3,سفر به هتل استقلال
3,پذیرش خیلی خوب بود. صبحانه و غذا ضعیف بود و برای من عجیب بود هتلی با این امکانات غذای خورشتی نداشت. صبحانه سعی شده بود کم هزینه تامین شود مثلا املت باید یک طعم ایرانی داشته باشد نه اینکه شبیه پیتزا روی خمیر گذاشته شده باشد در کل کیفیت غذا نسبت به سایر هتل های ۵ ستاره پایین تر بود
3,امکانات و فضای هتل و برخورد کارکنان عالی. فقط آب حمام گرم نبود و کیفیت صبحانه پایین بود.
3,خوب
3,سلام ارتباط با کارکنان بسبار عالی
5,عالی بود
4,بخش قدیمی واقعا حس نوستالوژیک به انسان می دهد بهتر است بازسازی شود
4,هتلی با امکانات عالی و خدمه مجرب و بسیار با ادب با دسترسی خیلی خوب
4,برای بار چتدم در این هتل اقامت داشتم همانند دفعات قبل علی رغم علامت لطفا مزاحم نشوید سر ساعت چهتر روم سرویس در زدند و از خواب بیدارم کردند که چیزی احتیاج ندارید!!!!
5,در کل قابل قبول و خوب بود
4,هتل بسیار عالی رفاه و آسایش خود را میتوانید در این هتل تجربه کنید
3,به نسبت قیمتش بد نیست ولی واقعا نیاز به بازسازی دارد تایم استخر و سونا اصلا مناسب نیست
4,پذيرش عالي هوم سرويس سريع و عالي لابي شلوغ ولي نسبتا ارام اتاق ها مرتب و تميز رسيدگي خوب اتاق ها شير توالت فرنگي نداشت ايراد مهمي است
5,برخورد کارکنان عالی بود اما قیمت غذا ها و پیش غذا و دسر نسبت به کیفیت و حجم غذا بسیار زیاد بود.
4,به طور کلی قابل رضایت بود. ممنون
5,صبحانه عالی. برخورد کارکنان عالی. رستوران گران. اینترنت بسیار ضعیف.
3,با ادب و خوش برخوردولي سرعت عمل پايين
1,اصلا در حد یه هتل ۳ ستاره هم نبود ! رستوران رزِ هتل واقعا غذاش بد بود صبحونه هتل کاملا در حد هتل ۳ ستاره بود و به شدت همه ی غذاها سرد بودن . اتاق واقعا بد بود حمام اتاق بی نهایت کهنه و غیر قابل استفاده بود .
4,پذيرش عالی
3,برخورد پذيرش خوب نبود ولي بقيه كاركنان خوب بودند كيفيت صبحانه خوب بود فقط نان آن تازه نبود
5,هتلی با اتاق های قدیمی اما خوب که نیاز به مرمت جزئی دیوارها و برخی وسایل دارد. مثلا پریز برق ۲۲۰ ولت دستشویی کار نمیکرد. وان حمام خراب بود
3,هتل قدیمی وسایل قدیم کارکنان خوب بودند توالت ایرانی نبود.
5,ممنون از زحماتتون
4,در زمان پذیرش و یا چک اوت زمان نسبتا زیادی صرف میشود.
5,هتلی ارام و درجه یک هستش
4,در کل خوب بود
3,نسبت به قيمتش كيفتش خوب نيست
5,به امید موفقیت روزافزونتان
5,"اتاقها تميز ، فضاي بيروني بسيار زيبا ، برخورد پرسنل محترمانه ، قيمت نسبت به خدمات در مقايسه با ساير هتلها خوب و قابل قبوله ."
4,قابل قبول
2,نیاز به باز سازی فوری و کامل دارد
2,برخود كاركنان خيلي خوب بود ولي هتل اتاق ها انگار وسيله ها قدیمی بود
4,"هتل بسیار خوبی است، اما فقط ضلع شرقی. صبحانه بسیار مفصل و متنوع. در کل راضی بودیم."
4,هتل خوب با کارکنان حرفه ای و مودب و همچنین امکاناتی خوب است. اما اتاقهای آن قدیمی است و نیاز به بازسازی دارد. نور اتاق نیز کم است. صبحانه بسیار متنوع و خوبی دارد. دسترسی آن به شبکه بزرگراهی عالی است.
3,هتلی با امکانات متوسط و بیسِ قدیمی تو اتاق ها فقط توالت فرنگی هست
4,موكت اتاق در ضلع غربي بسيار قديمي و مستعمل است
4,عالی
5,همه چیز عالی بود. بخصوص برخورد کارکنان هتل. اما بنده پیشنهاداتی دارم. اول اینکه کنار تختها پریز برق وجود داشته باشه که میهمانانتون برای شارژ موبایل و وسایل دیگه راحت باشند. و دوم اینکه اگر کف هر اتاق یک قطعه فرش کوچک وجود داشته باشه خیلی به زیبایی و پرستیژ هتل کمک میکنه.و اینکه سرویس های بهداشتی با وجود توالت فرنگی اگر یک شیر آب هم کنار توالت فرنگی وجود داشته باشه برای میهمانان ایرانی و عرب زبانتون جهت نظافت بهتر است.خیلی لذت بردیم ما از هتل استقلال. I come back soon
4,رفتار كاركنان هتل بسيار عالي لابي و فضاي بيروني هتل هم خيلي خوب بود صبحانه عالي ولي فضاي اتاق كوچك و نور اتاق ها هم كم بود
3,نسبت به قیمت امکانات اتاق خوب نیست
5,با توجه به قدمت و سابقه بهترین در ارائه خدمات
5,عالی بود
5,خوب
4,هتل بسیار منظم به همراه کارکنان مودب و صبحانه بسیار متنوع و عالی
4,خوب بود ولي عالي نه
4,هتل نیاز به بازسازی دارد
4,رفتار كاركنان هتل خوب
4,"سایز اتاق ،مناسب دوتخته نیست و بیشتر مناسب اتاق یک نفره میباشد."
5,خوب بود
3,برای هر خدمت زمان طولانی معطلی مواجه میشد و سرویس حمام بسیار ضعیف بود بطوریکه درپوش های وان گرفته شده بود و وقتی از پذیرش درخواست شد گفتند بدلیل مصرف اب درپوش های وان حمام رو برداشتند و وقتی با اصرار ما درپوش دادند سایزش کوچکتر بود و نمیخورد .
5,خوب بود
4,علی رغم قرار دادن کارت اتاق در محل مخصوص برق قطع و وصل می شد و تاسیسات هتل هم امد ولی مشکل ادامه داشت
5,برخورد پرسنل و کارمندان با میهمنان بسیار محترمانه بود.
3,به تمیزبودن راهروها واتاقها توجه بیشتری شود ممنون
3,هتل با موقعیت عالی و اتاق های متوسط
3,کولر اتاق قابل کنترل نبود و همان طور اب حمام وقتی اب گرم باز بود سرعت اب انقدر پایین بود که اب نمیومد... شیر توالت هم خراب بود به نظر من اگر کف پوش های اتاق را عوض کنین اتاق بیشتر ارزش را به خود میگیرد. وای فای اتاق رایگان بود ولی یک گیگ رایگان داشت که ان هم به موبایل من وصل نشد
4,از رسپشن تا رستوران و سایر کارمندان همگی مودب و وقت شناس فقط این هتل دستشوییاش تختاش باید تغییر کنه من این سری تختم چرخ داشت زیرش و تکون میخورد یعنی واقعا جالب نبود یکم رسیدگی نمیکنن .درسته هزینه و بودجه میخواد ولی حیف واقعا وگرنه نقطه دسترسی عالیه برای من که سفر کاری دارم مدام به تهران ولی من واقعا آرامش دارم تو این هتل غذاشونم کیفیتش عالیه
5,مودب و محترم بودند .
4,خوب بود .
5,"برخوردکارکنان خوب بود،خدمات نسبت به قیمت مناسب بود."
5,کلا مناسب مهمان های خارجی .
5,تمیز و دارای مکانی مناسب با پرسنلی مودب و امکانات خوب
4,"هتل استقلال، بیش از هر چیز به دلیل پیشینه‌ی آن، در بین هتلهای تهران، مورد توجه من و خانواده‌ام بوده و هست؛ اگرچه کم و کاستی‌هایی دارد که امیدوارم به آنها رسیدگی شود. برخورد کارکنان هتل در بخشهای مختلف، بسیار مناسب‌تر از بخش پذیرش است که باز هم امیدوارم در نظر گرفته شود.از نکات مثبت هتل، صبحانه‌ی عالی آن است که می‌توان گفت در طول سالها از کیفیت آن کاسته نشده."
4,اتاق ها نیاز به رسیدگی دارد.
5,تمیز- برخورد کارکنان عالی- کیفیت و تنوع صبحانه خوب - دسترسی عالی- کلا با توجه به هتل های دیگه بسیار بهتره
4,خدمت خوب بود
1,خیلی بد
4,خدمات روم سرویس پایین است . کارکنان پذیرش و بخش صبحانه بسیار عالی اما بخش روم سرویس ضعیف عمل می کنند . تنوع غذایی کم و اشتباه در ارسال .
4,خوب
4,خوب
4,سلام.در کل هتل خوبی بود ولی اتاقهای ضلع غربی مناسب نیست.من از قبل تفاوت اتاقهای ضلع غربی و شرقی را نمی دانستم.به همین دلیل در ضلع غربی رزرو کردم.متاسفانه پشیمان شدم.
3,بخش غربی هتل ضعیف هستش
4,خوب
5,خوب
5,موقعیت و امکانات عالی بود.
4,از کارکنان هتل فقط پرسنل پذیرش را دیدم که رفتارشان در شان یک هتلی ۴ ستاره با سابقه چند ده ساله نبود
4,خوب
4,خوب
4,هتل دو قسمت شرقي و غربي دارد كه بطرز غريبي از هم متفاوت هستند بخش غربي قدیمی و بخش شرقي نسبتا خوب و مدرن است
4,صبحانه مفصل و با کیفیت و رسیدگی کارکنان خوب بود. تمیزی اتاق نسبتا خوب بود. در کل راضی بودم
4,"کارکنان عالی، رستوران ها عالی، صبحانه عالی، اتاق ها قدیمی نیاز به بازسازی دارد."
4,خوب
3,رفتار کارکنان بسیار خوب و محترمانه و محیط هتل زیبا... از لحاظ تمیزی هم بسیار خوب فقط دستشویی یکم بو میداد که فکر میکنم مربوط به قدیمی بودن ساختمان هست و یه نکته منفی اینکه اسپلیت نداره داخل اتاق و برای من که گرمایی هستم و فصل بهار هم گرمه سیستم سرمایش هنوز کار نمیکرد.
5,همه چیز خوب و عالی بود .
4,"من در روزهای پانزدهم و شانزدهم فروردین 98 در این هتل حضور داشتم. اتاقی که ما رزرو کرده بودیم در ضلع غربی واقع شده بود و از قبل می دونستیم که بخش قدیمی تر هتل هست. اما خب از انچه که فکر می کردیم قدیمی تر بود و در بدو ورود کمی تو ذوقمون خورد. البته اتاقی که بهمون داده بودن کامل نظافت نشده بود که باعث شد بعد از عذرخواهی اتاقمون رو عوض کنن و خوشبختانه اتاق جدید مشکل بوی بد سرویس بهداشتی رو نداشت. نظافت اتاق قابل قبول بود. صبحانه هتل روز اول با اینکه تنوع خوبی داشت اما کیفیت خوبی نداشت و اصلا برامون دلچسب نبود. اما روز دوم کاملا متفاوت بود و حتی سالن صبحانه هم تغییر داده بودن که سالن خیلی بهتری بود و گفتن به خاطر شلوغی نوروز موقتا صبحانه تو سالن قبلی که بزرگتر بود منتقل شده بود و احتمالا کیفیت بد غذا هم به خاطر شلوغی نوروز بود چون صبحانه روز دوم کاملا متفاوت و بسیار عالی بود ، طوری که ما واقعا از این همه تغییر متعجب بودیم. روز دوم برعکس روز اول با کادر بیشتری صبحانه سرو شد و مدام برای کنترل وضعیت غذا ها بازرسی می کردن. در کل با توجه به تخفیف سایت ایران هتل که بسیار عالی بود از اقامتمون راضی بودیم. چون به نسبت مبلغی که دادیم کاملا می ارزید."
4,خوب بود اما نه در حد یک هتل 5 ستاره. اتاقها قدیمی شده و نیاز به باز سازی دارد
5,"عالی بود همه چی، برخوردخوب پرسنل"
3,"در مقایسه با سایر هتلهای پنج ستاره اتاقها قدیمی بودند . صبحانه هم در مقایسه ، خوب نبود ."
3,ساختمان و اتاقهای قدیمی سطح ارائه خدمات شامل رسیدگی به اتاقها؛کیفیت خدمات مانند صبحانه نسبت به سال گذشته کاهش محسوسی داشت.
5,همه چیز خوب خدمات هتل از نظرقیمت خصوصا در تعطیلات نوروز مناسب بود. اتاقها بنظرمیرسد از نظررنگ و کاغذ دیواری اصلاحاتی صورت پذیرد.پیش بینی توالت ایرانی در اتاقها ویا در هر طبقه باعث رفاه مسافرین ایرانی می شود.بوی نامطبوعی از دستشویی متصاعد میشد که نیاز به بررسی دارد.
4,خیلی از اتاقها دارای مشکل پنجره بودن و این موضوع خیلی ما رو آزار داد.به طوری که مجبور شدیم اتاقمون رو دو بار عوض کنیم.
3,نظر کلی برای هتل استقلال
5,همه چيز عالی بود.
4,خوب
4,اینترنت در اتاقها فعال نبود. انتخاب اتاق در طبقات محدودیت داشت. وان حمام خراب بود. در کل چون در زمان تخفیف از هتل استفاده کردیم نسبت به قیمت امکانات مناسبی دریافت کردیم. اما در زمان عادی نسبت به قیمت امکانات کافی نخواهد بود.
4,در ايام عيد تميزي كم بود
3,متوسط
4,عدم نظافت روزانه‌ی اتاقها علی‌رغم تذکرهای چندباره. کندی و غیرحرفه‌ای بودن کارکنان پذیرش
3,متوسط
5,عالي
3,سفر خانوادگی
4,کارکنان خوبی داشت.تنوع صبحانه هم خوب بود.
4,هتل خوبی بود.
4,کارکنان رفتار خوب و حرفه ای داشتند. اتاق تمیز و مرتب بود. سرعت وای فای خیلی خوب بود صبحانه انتخابهای زیاد و کیفیت قابل قبولی داشت تنها نکته منفی که دیدم روکشهای میزهای صبحانه لکه زیاد داشت بخاطر تعداد زیاد مهمانان شستشوی هر روزه شاید ممکن نباشد ولی برای یک هتل پنج ستاره باید راهکاری اندیشیده شود
4,خوب
3,خوب
5,"ما ضلع شرقی بودیم ، اتاق واقعا لاکچری و زیبا بود،صبحانه شلوغ بود. در مجموع واقعا خاطره انگیز و خوب بود."
4,خونگرم و كمك كننده
3,تنوع و کیفیت صبحانه خوب نبود
4,"همه چیز خوب بود. فقط اتاقها نیاز به بازسازی دارد، مخصوصا موکتها. حتی ضلع شرقی که ما اقامت داشتیم."
4,در کل هتل خوبی است مخصوصا موقعیت عالی آن. تاخیر در پذیرش اولیه به دلیل حجم بالای مسافر و از طرفی کمبود نیروی خدماتی متناسب با آن و تجدید نظر در سیستم سرویس های بهداشتی متناسب با مسافرین که اغلب ایرانی می باشند و یا اخذ تمهیداتی در این خصوص به جهت بهره مندی راحت تر مسافرین. مجموعه آبی با دریافت هزینه قابل استفاده بود که این مورد در بسیاری از هتل‌ها برای استفاده مسافرین صدق نمی کند.
